Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL3922919,Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3ccc(S(=O)(=O)N4CCC(O)CC4)cc3)nc1N2C,7.39,7.330464109287382,0.05953589071261778,0.002251226809372935,126221855.97680943,-2.282962000295783,0.0,2.3807542927367513,3.536564968506112,2.940548764605833,13.401775505276145,2.555674669735094,0.2597875831850663
CHEMBL4586038,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(NCc3ccc(C(=O)NO)c(C)c3)c2c(=O)n1-c1ccccc1,7.39,7.396246243775301,-0.006246243775301252,0.0026117705289013366,8514546124.37723,-2.2250953710351635,5.687386274683562,2.278211453428078,6.539674101418588,3.523153462472342,25.416010681910038,4.216749173012243,0.27440339290256993
CHEMBL5434168,CC(c1nn(-c2cccnc2)c2cc(Cl)ccc12)n1nc(-c2cccc(OC(F)(F)F)c2)c2c(N)ncnc21,7.39,7.59357866790212,-0.20357866790212054,0.010987999131469545,864484711.5373988,-2.1117958787851068,22.694277594512922,2.365792039965825,9.433090671760297,3.478225862839774,19.331562912184786,1.8905447525658565,0.5725966515560217
CHEMBL5182993,Cc1nc2cnc3ccc(-c4ccc(N)nc4)cc3c2n1-c1ccc(F)cc1,7.39,7.400441776207151,-0.010441776207151143,0.002114327388248804,4487896.253739346,-2.097996874382415,16.814289258077554,2.3077377230240286,11.146925865165821,3.0506331527060353,14.358372089569237,1.9334667445949913,0.122860127225706
CHEMBL1928536,C#Cc1ccn2ncc(/C=N/N(C)S(=O)(=O)c3cc([N+](=O)[O-])ccc3C)c2c1,7.39,7.25417777674985,0.13582222325015003,0.0019988435977099867,1881730.523308773,-2.1462036006969134,12.343784214475903,2.240439380848815,1.940351763077459,3.0752456680690394,4.5153978936156225,1.5563244654647697,0.27876042622700675
CHEMBL2152257,Nc1ncc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)c(OCC(F)(F)F)n1,7.39,7.260482043389962,0.1295179566100373,0.005054088431868923,6905567.973610879,-2.1429946018981645,17.006891319829364,2.3407699707614698,4.622974701706249,2.6961057355023046,22.182605600625784,-1.6849181327774323,0.42213306399257455
CHEMBL5273848,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccc(N)nc3)cnc2Cl)cc1,7.39,7.237634853801189,0.15236514619881092,0.002295293178293443,401496.5297143406,-2.1091296491571785,11.126902983393991,2.28134551843627,8.14762663864768,2.577396580438197,18.385754026223353,1.8836687794230946,0.2614913473426329
CHEMBL4243529,COc1ccc(-c2nn(Cc3nc4cccc(F)c4c(=O)n3-c3c(C)cccc3C)c3ncnc(N)c23)cn1,7.39,7.526967024417125,-0.1369670244171255,0.002529645963859418,946388159.5556632,-2.1773057005219876,22.82475409766439,2.308594526636117,10.004181979545402,3.2930478295977554,29.008132066608837,3.845470340945248,0.26853235657803254
CHEMBL1242287,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,7.39,7.108219558080832,0.2817804419191674,0.0029345700744560902,134968.24067606885,-2.2531775522491637,17.00689131982936,2.3847927601770555,8.325440247858404,2.8118383474181012,14.6497599770396,0.0,0.1637325068269755
CHEMBL5220434,Cn1c([C@@H]2C[C@@H](OCc3ccc(C(=O)NO)s3)CN2c2nc(N)nc(N)c2C#N)nc2cccc(Cl)c2c1=O,7.38,7.472482929793664,-0.09248292979366379,0.0038797038158113794,692725797.0606203,-2.2701270337585475,6.069221312792274,2.387239657967162,13.63682217873804,3.558468870626782,10.464075119068411,0.45982141020711254,0.2842009141676959
